Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Dan Orlovsky,LAR,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Kellen Clemens,LAC,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Tarvaris Jackson,SEA,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Charlie Whitehurst,CLE,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Bruce Gradkowski,PIT,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Josh Johnson,NYG,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Matt Flynn,NO,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Chase Daniel,NO,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Josh Freeman,IND,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Mark Sanchez,CHI,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Jimmy Clausen,BAL,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Colt McCoy,WAS,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Joe Webb,BUF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Thaddeus Lewis,BAL,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Christian Ponder,SF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Blaine Gabbert,ARI,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Colin Kaepernick,SF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
T.J. Yates,BUF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Jerrod Johnson,DAL,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Andrew Luck,IND,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Robert Griffin III,CLE,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Brandon Weeden,TEN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Kellen Moore,DAL,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Ryan Lindley,IND,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Matt Simms,ATL,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Alex Tanney,TEN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Ryan Nassib,JAX,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Sean Renfree,ATL,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Landry Jones,PIT,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Zac Dysert,ARI,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Matt Barkley,SF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Tyler Bray,KC,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Matt McGloin,PHI,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Teddy Bridgewater,MIN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,7,0,1,0,0,1,0
Johnny Manziel,CLE,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Jimmy Garoppolo,SF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
AJ McCarron,CIN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Tajh Boyd,PIT,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Zach Mettenberger,PIT,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Keith Wenning,BUF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Aaron Murray,KC,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Matt Blanchard,CHI,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
