Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Derrick Coleman,ATL,RB,112,0.50,0.87,4.00,-0.37,1.37,0,0,0,8,2,0,0,0,0
Andy Janovich,DEN,RB,113,0.49,1.22,3.90,-0.73,1.70,0,0,0,8,2,0,0,0,0
Jay Prosch,HOU,RB,114,0.49,0.95,3.90,-0.46,1.43,0,0,0,8,2,0,0,0,0
Alfred Blue,HOU,RB,115,0.41,0.75,3.30,-0.34,1.16,0,0,0,8,2,0,0,0,0
Ryan Hewitt,CIN,RB,116,0.33,0.86,2.60,-0.53,1.18,0,0,0,8,2,0,0,0,0
Michael Burton,CHI,RB,117,0.31,0.61,2.50,-0.29,0.92,0,0,0,8,2,0,0,0,0
Cameron Artis-Payne,CAR,RB,118,0.26,0.62,2.30,-0.37,0.88,0,0,0,9,2,0,0,0,0
David Fluellen,TEN,RB,119,0.26,0.59,2.10,-0.33,0.85,0,0,0,8,2,0,0,0,0
Anthony Sherman,KC,RB,119,0.23,0.66,2.10,-0.43,0.89,0,0,0,9,2,0,0,0,0
Taiwan Jones,BUF,RB,119,0.26,0.69,2.10,-0.43,0.96,0,0,0,8,2,0,0,0,0
Elijhaa Penny,ARI,RB,122,0.21,0.53,1.70,-0.31,0.74,0,0,0,8,2,0,0,0,0
Dan Vitale,CLE,RB,123,0.19,0.53,1.70,-0.35,0.72,0,0,0,9,2,0,0,0,0
Matt Jones,IND,RB,124,0.16,0.35,1.40,-0.19,0.50,0,0,0,9,2,0,0,0,0
Akeem Hunt,KC,RB,124,0.16,0.35,1.40,-0.19,0.50,0,0,0,9,2,0,0,0,0
Patrick DiMarco,BUF,RB,126,0.16,0.51,1.30,-0.35,0.67,0,0,0,8,2,0,0,0,0
Raheem Mostert,SF,RB,127,0.11,0.61,1.00,-0.50,0.72,0,0,0,9,2,0,0,0,0
Terrell Watson,PIT,RB,128,0.10,0.12,0.80,-0.02,0.22,0,0,0,8,2,0,0,0,0
Josh Ferguson,IND,RB,129,0.06,0.16,0.50,-0.10,0.21,0,0,0,9,2,0,0,0,0
Zach Line,NO,RB,130,0.05,0.13,0.40,-0.08,0.18,0,0,0,8,2,0,0,0,0
John Kuhn,NO,RB,131,0.03,0.07,0.20,-0.04,0.09,0,0,0,8,2,0,0,0,0
Justin Davis,LAR,RB,132,0.01,0.03,0.10,-0.02,0.05,0,0,0,8,2,0,0,0,0
De'Angelo Henderson,DEN,RB,132,0.01,0.03,0.10,-0.02,0.05,0,0,0,8,2,0,0,0,0
Steven Jackson,NE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Reggie Bush,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
DeAngelo Williams,PIT,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Fred Jackson,SEA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Ahmad Bradshaw,IND,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Pierre Thomas,WAS,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Darren McFadden,DAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Jerome Felton,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Tim Hightower,SF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Justin Forsett,DEN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Marcel Reece,SEA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Donald Brown,NE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Rashad Jennings,NYG,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Cedric Peerman,CIN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Marcus Thigpen,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Darrel Young,CAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
C.J. Spiller,KC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Ryan Mathews,PHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Dexter McCluster,LAC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Ben Tate,PIT,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Toby Gerhart,JAX,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Boobie Dixon,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
James Starks,GB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Joique Bell,DET,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Tyler Clutts,DAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Stevan Ridley,MIN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,7,2,0,0,0,0
Ryan Williams,DAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Kendall Hunter,NO,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Jordan Todman,HOU,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Roy Helu Jr.,OAK,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
DuJuan Harris,JAX,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Matt Asiata,DET,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Shaun Draughn,NYG,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Chase Reynolds,LAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Will Johnson,NYG,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Trent Richardson,BAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Chris Polk,HOU,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Bernard Pierce,DEN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Ronnie Hillman,DAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Cyrus Gray,ATL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Vick Ballard,NO,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Daniel Herron,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Bryce Brown,SEA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Daryl Richardson,IND,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Cory Harkey,LAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Joe Banyard,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Jonas Gray,JAX,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Lance Dunbar,LAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Brandon Bolden,NE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Jonathan Grimes,JAX,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Knile Davis,PIT,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Christine Michael,IND,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Denard Robinson,JAX,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Mike James,DET,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Stepfan Taylor,ARI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Zac Stacy,NYJ,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Spencer Ware,KC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Kendall Gaskins,SF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Steven Miller,DET,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
George Winn,IND,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Khiry Robinson,NYJ,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Dri Archer,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Tre Mason,LAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Bishop Sankey,MIN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,7,2,0,0,0,0
Tyler Gaffney,JAX,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Lache Seastrunk,NYJ,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Andre Williams,LAC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Ka'Deem Carey,CHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,7,2,0,0,0,0
Lorenzo Taliaferro,BAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Marion Grice,ARI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Juwan Thompson,DEN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Kapri Bibbs,SF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Antonio Andrews,TEN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Darrin Reaves,KC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Silas Redd,WAS,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Trey Watts,LAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Glenn Winston,CLE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Fitzgerald Toussaint,PIT,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Roosevelt Nix,PIT,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Marcus Murphy,NYJ,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Jeremy Langford,BAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Malcolm Johnson,SEA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Joey Iosefa,NE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
David Cobb,CHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,7,2,0,0,0,0
Karlos Williams,PIT,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Kenny Hilliard,WAS,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Josh Robinson,IND,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Tyler Varga,IND,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Mike Davis,SEA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Michael Dyer,OAK,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
John Crockett,OAK,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Terrence Magee,CLE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Gus Johnson,LAC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Terron Ward,ATL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Jarryd Hayne,SF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Brandon Wegher,LAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Alonzo Harris,GB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Nikita Whitlock,NYG,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Trey Williams,PIT,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Kenneth Dixon,BAL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Jonathan Williams,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Derek Watt,LAC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Kelvin Taylor,ATL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Darius Jackson,CLE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Daniel Lasco,NO,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Keith Marshall,WAS,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Zac Brooks,SEA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Brandon Wilds,CLE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Jhurell Pressley,ATL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Byron Marshall,PHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
George Atkinson III,OAK,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
James Wilder Jr.,BUF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
D.J. Foster,ARI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Dreamius Smith,LAC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Devon Johnson,CAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Troymaine Pope,IND,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Glenn Gronkowski,NE,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Julian Howsare,NYJ,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Kenneth Farrow,LAC,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Paul Lasike,CHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,7,2,0,0,0,0
Don Jackson,GB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
George Farmer,SEA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Donnel Pumphrey,PHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Elijah Hood,OAK,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Marquez Williams,JAX,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
T.J. Logan,ARI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Sam Rogers,LAR,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Devante Mays,GB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Joe Williams,SF,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Khalfani Muhammad,TEN,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Brian Hill,ATL,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Freddie Stevenson,CHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,7,2,0,0,0,0
Algernon Brown,NYJ,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Jahad Thomas,NYJ,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Taquan Mizzell,CHI,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,7,2,0,0,0,0
Trey Edmunds,NO,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,8,2,0,0,0,0
Arian Foster,MIA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Jorvorskie Lane,TB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Antone Smith,TB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Daniel Thomas,MIA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Isaiah Pead,MIA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
LaMike James,MIA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Storm Johnson,MIA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Austin Johnson,TB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Senorise Perry,MIA,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Jeremy McNichols,TB,RB,134,0.00,0.00,0.00,0.00,0.00,0,0,0,9,2,0,0,0,0
Travis Kelce,KC,TE,1,16.07,8.23,144.60,7.84,24.29,7,1,0,1,1,1,8,0,1
Zach Ertz,PHI,TE,2,16.23,2.24,129.80,13.99,18.46,8,0,0,1,1,1,8,0,1
Rob Gronkowski,NE,TE,3,16.41,7.59,114.90,8.82,24.01,5,2,0,1,1,1,7,0,1
Jack Doyle,IND,TE,4,12.76,8.09,102.10,4.67,20.85,4,3,0,2,1,1,7,0,1
Evan Engram,NYG,TE,5,12.40,5.95,99.20,6.45,18.35,5,2,0,1,1,1,7,0,1
Cameron Brate,TB,TE,6,12.18,6.03,97.40,6.14,18.21,6,0,2,0,1,1,6,0,1
Jared Cook,OAK,TE,7,10.32,5.57,92.90,4.75,15.89,5,1,3,0,1,1,6,0,1
Jimmy Graham,SEA,TE,8,11.23,5.82,89.80,5.40,17.05,6,0,1,1,1,1,6,0,1
Jason Witten,DAL,TE,9,10.36,8.57,82.90,1.80,18.93,3,2,0,3,1,1,5,0,1
Delanie Walker,TEN,TE,10,10.04,3.86,80.30,6.18,13.90,4,3,1,0,1,1,7,0,1
Kyle Rudolph,MIN,TE,11,9.64,4.52,77.10,5.11,14.16,3,3,1,1,1,1,6,0,1
Benjamin Watson,BAL,TE,12,9.51,3.81,76.10,5.71,13.32,3,4,0,2,1,1,7,0,1
Tyler Kroft,CIN,TE,13,8.96,7.16,71.70,1.80,16.13,4,2,0,2,1,1,6,0,1
Austin Seferian-Jenkins,NYJ,TE,14,10.16,4.05,71.10,6.10,14.21,2,4,1,2,1,1,6,0,1
Austin Hooper,ATL,TE,15,8.76,6.43,70.10,2.33,15.19,4,1,0,3,1,1,5,0,1
Hunter Henry,LAC,TE,16,8.28,5.88,66.20,2.39,14.16,3,2,1,2,1,1,5,0,1
Vernon Davis,WAS,TE,17,8.18,5.39,65.40,2.78,13.57,3,2,1,2,1,1,5,0,1
George Kittle,SF,TE,18,6.74,5.57,60.70,1.18,12.31,1,3,3,2,1,1,4,0,1
Jordan Reed,WAS,TE,19,10.02,7.89,60.10,2.13,17.90,2,2,1,3,1,1,4,0,1
Charles Clay,BUF,TE,20,11.56,5.20,57.80,6.36,16.76,3,0,2,3,1,1,3,0,1
Ed Dickson,CAR,TE,21,6.32,6.47,56.90,-0.15,12.80,1,3,2,3,1,0,4,0,0
Zach Miller,CHI,TE,22,6.95,4.03,55.60,2.92,10.98,1,3,3,1,1,1,4,0,1
David Njoku,CLE,TE,23,6.95,4.09,55.60,2.86,11.04,1,3,2,2,1,1,4,0,1
Julius Thomas,MIA,TE,24,6.78,5.49,54.20,1.29,12.26,1,1,4,2,1,1,2,0,0
O.J. Howard,TB,TE,25,6.59,9.09,52.70,-2.51,15.68,2,0,1,5,1,0,2,0,0
Jesse James,PIT,TE,26,6.41,6.48,51.30,-0.07,12.89,1,3,2,2,1,0,4,0,0
A.J. Derby,DEN,TE,27,7.17,5.51,50.20,1.67,12.68,2,2,1,3,1,1,4,0,1
Marcedes Lewis,JAX,TE,28,6.18,9.20,49.40,-3.03,15.38,1,2,0,5,1,0,3,0,0
Coby Fleener,NO,TE,29,5.95,5.31,47.60,0.64,11.26,2,1,2,3,1,1,3,0,1
Martellus Bennett,GB,TE,30,6.76,2.50,47.30,4.26,9.25,0,4,3,1,1,1,4,1,0
Eric Ebron,DET,TE,31,5.44,4.22,43.50,1.21,9.66,1,2,2,3,1,1,3,0,1
Seth DeValve,CLE,TE,32,5.30,2.85,42.40,2.45,8.15,0,5,1,2,1,1,5,1,0
Darren Fells,DET,TE,33,5.29,5.42,42.30,-0.14,10.71,2,1,1,4,1,0,3,0,0
Tyler Higbee,LAR,TE,34,4.96,4.31,39.70,0.65,9.27,1,2,2,3,1,1,3,0,1
Jermaine Gresham,ARI,TE,35,5.61,2.88,39.30,2.74,8.49,1,1,3,3,1,1,2,0,0
Luke Willson,SEA,TE,36,4.71,4.80,37.70,-0.09,9.51,1,1,2,4,1,0,2,0,0
Ryan Griffin,HOU,TE,37,4.60,5.70,36.80,-1.10,10.30,1,1,1,5,1,0,2,0,0
Antonio Gates,LAC,TE,38,4.43,2.10,35.40,2.32,6.53,0,3,4,1,1,1,3,1,0
Gerald Everett,LAR,TE,39,4.39,4.07,35.10,0.32,8.46,1,2,1,4,1,1,3,0,1
Nick O'Leary,BUF,TE,40,4.26,3.59,34.10,0.67,7.86,0,3,2,3,1,1,3,1,0
Trey Burton,PHI,TE,40,3.79,4.00,34.10,-0.21,7.79,1,1,2,5,1,0,2,0,0
Nick Boyle,BAL,TE,42,3.76,2.57,33.80,1.18,6.33,0,2,2,5,1,1,2,1,0
Jonnu Smith,TEN,TE,43,4.21,4.18,33.70,0.04,8.39,0,3,1,4,1,1,3,1,0
Stephen Anderson,HOU,TE,44,4.14,2.76,33.10,1.38,6.90,0,2,4,2,1,1,2,1,0
Virgil Green,DEN,TE,45,3.38,2.85,27.00,0.52,6.23,0,3,2,3,1,1,3,1,0
Lance Kendricks,GB,TE,46,3.33,4.18,26.60,-0.86,7.51,1,0,3,4,1,0,1,0,0
Dion Sims,CHI,TE,47,4.38,3.88,26.30,0.50,8.26,1,2,0,5,1,1,3,0,1
Eric Tomlinson,NYJ,TE,48,3.85,2.80,23.10,1.05,6.65,1,0,3,5,1,1,1,0,0
Rhett Ellison,NYG,TE,49,2.64,2.92,21.10,-0.28,5.55,0,1,2,5,1,0,1,1,0
Garrett Celek,SF,TE,50,2.27,2.00,20.40,0.27,4.26,0,1,2,6,1,1,1,1,0
Brandon Williams,IND,TE,51,2.13,1.80,19.20,0.33,3.94,0,0,2,7,1,1,0,1,0
Demetrius Harris,KC,TE,52,3.03,3.51,18.20,-0.48,6.55,1,0,2,6,1,0,1,0,0
Jeff Heuerman,DEN,TE,53,2.25,3.30,18.00,-1.05,5.55,0,1,1,6,1,0,1,1,0
Anthony Fasano,MIA,TE,54,2.19,3.74,17.50,-1.55,5.93,1,0,2,6,1,0,1,0,0
Troy Niklas,ARI,TE,55,2.15,3.17,17.20,-1.02,5.32,0,1,1,6,1,0,1,1,0
Logan Thomas,BUF,TE,56,2.09,3.05,16.70,-0.97,5.14,0,1,1,6,1,0,1,1,0
Michael Hoomanawanui,NO,TE,57,1.85,3.46,14.80,-1.61,5.31,1,0,0,7,1,0,1,0,0
Brent Celek,PHI,TE,58,1.58,2.09,14.20,-0.51,3.67,0,1,1,7,1,0,1,1,0
Maxx Williams,BAL,TE,59,1.48,2.52,13.30,-1.04,4.00,0,1,1,7,1,0,1,1,0
Josh Hill,NO,TE,60,1.64,2.50,13.10,-0.86,4.13,0,1,1,6,1,0,1,1,0
Levine Toilolo,ATL,TE,61,1.36,1.95,10.90,-0.59,3.31,0,0,2,6,1,0,0,1,0
Phillip Supernaw,TEN,TE,61,1.36,3.14,10.90,-1.78,4.50,0,1,0,7,1,0,1,1,0
Luke Stocker,TB,TE,63,1.35,3.04,10.80,-1.69,4.39,0,1,0,8,1,0,1,1,0
James Hanna,DAL,TE,64,1.23,3.24,9.80,-2.02,4.47,0,1,0,7,1,0,1,1,0
James O'Shaughnessy,JAX,TE,65,1.21,1.28,9.70,-0.07,2.49,0,0,1,7,1,0,0,1,0
Vance McDonald,PIT,TE,66,1.16,2.08,9.30,-0.92,3.24,0,0,2,6,1,0,0,1,0
C.J. Fiedorowicz,HOU,TE,67,8.60,0.00,8.60,8.60,8.60,1,0,0,7,1,1,1,0,0
Tyler Eifert,CIN,TE,67,4.30,2.90,8.60,1.40,7.20,0,1,0,7,1,1,1,1,0
Lee Smith,OAK,TE,69,0.94,1.39,8.50,-0.45,2.34,0,0,1,8,1,0,0,1,0
Jerell Adams,NYG,TE,69,1.06,1.62,8.50,-0.56,2.68,0,0,1,7,1,0,0,1,0
Nick Vannett,SEA,TE,71,1.04,1.05,8.30,-0.01,2.08,0,0,0,8,1,0,0,1,0
Derek Carrier,LAR,TE,71,1.04,1.08,8.30,-0.05,2.12,0,0,1,7,1,0,0,1,0
Richard Rodgers,GB,TE,71,1.04,1.50,8.30,-0.46,2.54,0,0,1,7,1,0,0,1,0
Will Tye,NYJ,TE,74,0.87,2.00,7.80,-1.14,2.87,0,1,0,8,1,0,1,1,0
Adam Shaheen,CHI,TE,75,0.90,2.38,7.20,-1.48,3.28,0,1,0,6,1,0,1,1,0
Ross Travis,KC,TE,76,0.80,1.44,7.20,-0.64,2.24,0,0,1,8,1,0,0,1,0
C.J. Uzomah,CIN,TE,77,0.86,1.17,6.90,-0.31,2.03,0,0,1,7,1,0,0,1,0
Jacob Hollister,NE,TE,78,0.84,1.14,6.70,-0.30,1.97,0,0,1,7,1,0,0,1,0
Greg Olsen,CAR,TE,79,2.90,0.90,5.80,2.00,3.80,0,0,1,8,1,1,0,1,0
David Morgan II,MIN,TE,79,0.83,2.03,5.80,-1.20,2.86,0,1,0,6,1,0,1,1,0
Darrell Daniels,IND,TE,81,0.62,0.90,5.60,-0.28,1.52,0,0,0,9,1,0,0,1,0
Ifeanyi Momah,ARI,TE,81,0.70,1.85,5.60,-1.15,2.55,0,0,1,7,1,0,0,1,0
